,contribution [%],cumulative contribution [%]
PC_1,80.13,80.13
PC_2,19.79,99.91
PC_3,0.05,99.96
PC_4,0.03,100.00
PC_5,0.00,100.00
PC_6,0.00,100.00
PC_7,0.00,100.00
PC_8,0.00,100.00
PC_9,0.00,100.00
