,PCA1,PCA2
HCE-group1,-1111.6402312065156,719.4890908996455
HCE-group2,-948.902702801786,379.1996253831335
HCE-group3,-1008.6280960899799,501.8348065178029
iPS-1,1232.5574518077651,63.48035462349304
iPS-2,1647.7783789264981,262.3272779085322
iPS-3,1468.2079207612032,176.34429527058884
CECSi -1,-435.52303765162225,-681.0265709707468
CECSi -2,-418.9931459796628,-717.8131225541425
CECSi -3,-424.85653776589965,-703.835757078308
