,contribution [%],cumulative contribution [%]
PC_1,78.46,78.46
PC_2,21.45,99.91
PC_3,0.06,99.97
PC_4,0.03,100.00
PC_5,0.00,100.00
PC_6,0.00,100.00
PC_7,0.00,100.00
PC_8,0.00,100.00
PC_9,0.00,100.00
