,PCA1,PCA2
HCE-group1,-1103.1332380170627,-675.6368838306269
HCE-group2,-917.6210371112277,-347.2283454154383
HCE-group3,-984.5270356812898,-465.800953002449
iPS-1,1132.2023140430667,-88.67675003283007
iPS-2,1511.4403999779831,-300.4128724097089
iPS-3,1348.147974306253,-209.27368128043412
CECSi -1,-339.22873734154115,676.6579860602433
CECSi -2,-320.04904562785117,711.8424005550969
CECSi -3,-327.2315945483298,698.5290993561479
