,contribution [%],cumulative contribution [%]
PC_1,97.72,97.72
PC_2,1.00,98.72
PC_3,0.72,99.44
PC_4,0.27,99.71
PC_5,0.25,99.96
PC_6,0.03,99.99
PC_7,0.01,100.00
PC_8,0.00,100.00
PC_9,0.00,100.00
PC_10,0.00,100.00
PC_11,0.00,100.00
