,PC1
HCE-group1,-707.456263821653
HCE-group2,-699.7163527087673
HCE-group3,-702.944233769383
iPS-1,1144.5382656235317
iPS-2,1602.799958833637
iPS-3,1404.5797386949293
CECSi -1,-682.3098379947965
CECSi -2,-681.7392954412423
CECSi -3,-677.7519794162555
