,PC1
HCE-group1,-584.2486740300214
HCE-group2,-578.8624932494903
HCE-group3,-581.3744901003779
iPS-1,1261.9355535987236
iPS-2,1721.7035683675686
iPS-3,1523.4096640652856
CECSi -1,-565.3999756624751
CECSi -2,-565.2660235136556
CECSi -3,-561.9918222213369
NCC-1,-536.9248795606836
NCC-2,-532.9804276935375
